GEOID,GEOID_2,Block Group,Tract,County,Total Population,Millennial Population,Pct,Year
080010084021,15000US080010084021,Block Group 1, Census Tract 84.02, Adams County,3178,503,0.158275645,2013
080010084022,15000US080010084022,Block Group 2, Census Tract 84.02, Adams County,1604,350,0.218204489,2013
080010085051,15000US080010085051,Block Group 1, Census Tract 85.05, Adams County,836,151,0.18062201,2013
080010085052,15000US080010085052,Block Group 2, Census Tract 85.05, Adams County,987,372,0.376899696,2013
080010085053,15000US080010085053,Block Group 3, Census Tract 85.05, Adams County,2085,480,0.230215827,2013
080010085054,15000US080010085054,Block Group 4, Census Tract 85.05, Adams County,1275,432,0.338823529,2013
080010085055,15000US080010085055,Block Group 5, Census Tract 85.05, Adams County,958,50,0.052192067,2013
080010085056,15000US080010085056,Block Group 6, Census Tract 85.05, Adams County,710,155,0.218309859,2013
080010085061,15000US080010085061,Block Group 1, Census Tract 85.06, Adams County,1214,371,0.305601318,2013
080010085062,15000US080010085062,Block Group 2, Census Tract 85.06, Adams County,857,304,0.354725788,2013
080010085063,15000US080010085063,Block Group 3, Census Tract 85.06, Adams County,2966,1029,0.346931895,2013
080010085064,15000US080010085064,Block Group 4, Census Tract 85.06, Adams County,564,42,0.074468085,2013
080010085071,15000US080010085071,Block Group 1, Census Tract 85.07, Adams County,2000,531,0.2655,2013
080010085072,15000US080010085072,Block Group 2, Census Tract 85.07, Adams County,1159,276,0.238136324,2013
080010085073,15000US080010085073,Block Group 3, Census Tract 85.07, Adams County,911,287,0.315038419,2013
080010085074,15000US080010085074,Block Group 4, Census Tract 85.07, Adams County,1223,231,0.188879804,2013
080010085075,15000US080010085075,Block Group 5, Census Tract 85.07, Adams County,1480,387,0.261486486,2013
080010085081,15000US080010085081,Block Group 1, Census Tract 85.08, Adams County,977,242,0.247697032,2013
080010085082,15000US080010085082,Block Group 2, Census Tract 85.08, Adams County,2229,594,0.266487214,2013
080010085083,15000US080010085083,Block Group 3, Census Tract 85.08, Adams County,1839,454,0.246873301,2013
080010085231,15000US080010085231,Block Group 1, Census Tract 85.23, Adams County,650,97,0.149230769,2013
080010085232,15000US080010085232,Block Group 2, Census Tract 85.23, Adams County,3952,617,0.156123482,2013
080010085233,15000US080010085233,Block Group 3, Census Tract 85.23, Adams County,3005,563,0.187354409,2013
080010085234,15000US080010085234,Block Group 4, Census Tract 85.23, Adams County,0,0,0,2013
080010085241,15000US080010085241,Block Group 1, Census Tract 85.24, Adams County,1648,433,0.262742718,2013
080010085242,15000US080010085242,Block Group 2, Census Tract 85.24, Adams County,1672,222,0.13277512,2013
080010085243,15000US080010085243,Block Group 3, Census Tract 85.24, Adams County,1726,581,0.336616454,2013
080010085244,15000US080010085244,Block Group 4, Census Tract 85.24, Adams County,1518,169,0.111330698,2013
080010085245,15000US080010085245,Block Group 5, Census Tract 85.24, Adams County,1142,187,0.163747811,2013
080010085261,15000US080010085261,Block Group 1, Census Tract 85.26, Adams County,1731,294,0.169844021,2013
080010085262,15000US080010085262,Block Group 2, Census Tract 85.26, Adams County,1620,220,0.135802469,2013
080010085263,15000US080010085263,Block Group 3, Census Tract 85.26, Adams County,879,241,0.274175199,2013
080010085264,15000US080010085264,Block Group 4, Census Tract 85.26, Adams County,1302,219,0.168202765,2013
080010085265,15000US080010085265,Block Group 5, Census Tract 85.26, Adams County,1157,142,0.122731201,2013
080010085291,15000US080010085291,Block Group 1, Census Tract 85.29, Adams County,2811,517,0.183920313,2013
080010085292,15000US080010085292,Block Group 2, Census Tract 85.29, Adams County,3215,1047,0.325660964,2013
080010085293,15000US080010085293,Block Group 3, Census Tract 85.29, Adams County,1886,1109,0.588016967,2013
080010085331,15000US080010085331,Block Group 1, Census Tract 85.33, Adams County,3407,871,0.255650132,2013
080010085332,15000US080010085332,Block Group 2, Census Tract 85.33, Adams County,3836,1558,0.406152242,2013
080010085341,15000US080010085341,Block Group 1, Census Tract 85.34, Adams County,1888,391,0.207097458,2013
080010085342,15000US080010085342,Block Group 2, Census Tract 85.34, Adams County,1242,408,0.328502415,2013
080010085343,15000US080010085343,Block Group 3, Census Tract 85.34, Adams County,1403,312,0.222380613,2013
080010085351,15000US080010085351,Block Group 1, Census Tract 85.35, Adams County,3316,773,0.233112183,2013
080010085361,15000US080010085361,Block Group 1, Census Tract 85.36, Adams County,2728,647,0.237170088,2013
080010085371,15000US080010085371,Block Group 1, Census Tract 85.37, Adams County,5652,1446,0.255838641,2013
080010085381,15000US080010085381,Block Group 1, Census Tract 85.38, Adams County,0,0,0,2013
080010085382,15000US080010085382,Block Group 2, Census Tract 85.38, Adams County,5651,1240,0.219430189,2013
080010085391,15000US080010085391,Block Group 1, Census Tract 85.39, Adams County,8310,2431,0.29253911,2013
080010085401,15000US080010085401,Block Group 1, Census Tract 85.40, Adams County,6394,1595,0.249452612,2013
080010085411,15000US080010085411,Block Group 1, Census Tract 85.41, Adams County,4441,549,0.123620806,2013
080010085421,15000US080010085421,Block Group 1, Census Tract 85.42, Adams County,3657,1161,0.317473339,2013
080010085422,15000US080010085422,Block Group 2, Census Tract 85.42, Adams County,3212,604,0.188044832,2013
080010085431,15000US080010085431,Block Group 1, Census Tract 85.43, Adams County,1977,413,0.208902377,2013
080010085432,15000US080010085432,Block Group 2, Census Tract 85.43, Adams County,930,108,0.116129032,2013
080010085433,15000US080010085433,Block Group 3, Census Tract 85.43, Adams County,1859,408,0.219472835,2013
080010085434,15000US080010085434,Block Group 4, Census Tract 85.43, Adams County,766,119,0.15535248,2013
080010085435,15000US080010085435,Block Group 5, Census Tract 85.43, Adams County,1551,287,0.185041908,2013
080010085441,15000US080010085441,Block Group 1, Census Tract 85.44, Adams County,4246,812,0.191238813,2013
080010085451,15000US080010085451,Block Group 1, Census Tract 85.45, Adams County,1778,538,0.302587177,2013
080010085452,15000US080010085452,Block Group 2, Census Tract 85.45, Adams County,1214,241,0.198517298,2013
080010085453,15000US080010085453,Block Group 3, Census Tract 85.45, Adams County,1215,193,0.158847737,2013
080010085454,15000US080010085454,Block Group 4, Census Tract 85.45, Adams County,1750,464,0.265142857,2013
080010085455,15000US080010085455,Block Group 5, Census Tract 85.45, Adams County,1066,137,0.128517824,2013
080010085461,15000US080010085461,Block Group 1, Census Tract 85.46, Adams County,1076,224,0.208178439,2013
080010085462,15000US080010085462,Block Group 2, Census Tract 85.46, Adams County,1853,482,0.260118726,2013
080010085471,15000US080010085471,Block Group 1, Census Tract 85.47, Adams County,1336,322,0.241017964,2013
080010085472,15000US080010085472,Block Group 2, Census Tract 85.47, Adams County,2155,564,0.261716937,2013
080010085481,15000US080010085481,Block Group 1, Census Tract 85.48, Adams County,1493,545,0.365036839,2013
080010085491,15000US080010085491,Block Group 1, Census Tract 85.49, Adams County,2806,838,0.298645759,2013
080010085492,15000US080010085492,Block Group 2, Census Tract 85.49, Adams County,1504,312,0.207446809,2013
080010085501,15000US080010085501,Block Group 1, Census Tract 85.50, Adams County,1643,414,0.251978089,2013
080010085502,15000US080010085502,Block Group 2, Census Tract 85.50, Adams County,1200,177,0.1475,2013
080010085503,15000US080010085503,Block Group 3, Census Tract 85.50, Adams County,4046,806,0.199209095,2013
080010085504,15000US080010085504,Block Group 4, Census Tract 85.50, Adams County,905,132,0.145856354,2013
080010085511,15000US080010085511,Block Group 1, Census Tract 85.51, Adams County,1053,148,0.140550807,2013
080010086031,15000US080010086031,Block Group 1, Census Tract 86.03, Adams County,2217,667,0.300857014,2013
080010086041,15000US080010086041,Block Group 1, Census Tract 86.04, Adams County,3498,1125,0.32161235,2013
080010086042,15000US080010086042,Block Group 2, Census Tract 86.04, Adams County,1674,455,0.271804062,2013
080010086051,15000US080010086051,Block Group 1, Census Tract 86.05, Adams County,1647,542,0.329083182,2013
080010086052,15000US080010086052,Block Group 2, Census Tract 86.05, Adams County,1889,287,0.151932239,2013
080010086061,15000US080010086061,Block Group 1, Census Tract 86.06, Adams County,1971,470,0.238457636,2013
080010086062,15000US080010086062,Block Group 2, Census Tract 86.06, Adams County,1780,649,0.364606742,2013
080010086063,15000US080010086063,Block Group 3, Census Tract 86.06, Adams County,3049,857,0.281075763,2013
080010087051,15000US080010087051,Block Group 1, Census Tract 87.05, Adams County,1540,274,0.177922078,2013
080010087052,15000US080010087052,Block Group 2, Census Tract 87.05, Adams County,1403,282,0.200997862,2013
080010087053,15000US080010087053,Block Group 3, Census Tract 87.05, Adams County,673,91,0.135215453,2013
080010087054,15000US080010087054,Block Group 4, Census Tract 87.05, Adams County,1069,222,0.20767072,2013
080010087061,15000US080010087061,Block Group 1, Census Tract 87.06, Adams County,1659,287,0.172995781,2013
080010087062,15000US080010087062,Block Group 2, Census Tract 87.06, Adams County,2169,716,0.33010604,2013
080010087063,15000US080010087063,Block Group 3, Census Tract 87.06, Adams County,1262,312,0.247226624,2013
080010087091,15000US080010087091,Block Group 1, Census Tract 87.09, Adams County,1252,253,0.202076677,2013
080010087092,15000US080010087092,Block Group 2, Census Tract 87.09, Adams County,2505,838,0.334530938,2013
080010087093,15000US080010087093,Block Group 3, Census Tract 87.09, Adams County,1203,272,0.226101413,2013
080010087094,15000US080010087094,Block Group 4, Census Tract 87.09, Adams County,1369,467,0.341124909,2013
080010087095,15000US080010087095,Block Group 5, Census Tract 87.09, Adams County,1944,323,0.166152263,2013
080010088011,15000US080010088011,Block Group 1, Census Tract 88.01, Adams County,703,57,0.081081081,2013
080010088012,15000US080010088012,Block Group 2, Census Tract 88.01, Adams County,2312,367,0.158737024,2013
080010088013,15000US080010088013,Block Group 3, Census Tract 88.01, Adams County,1889,480,0.2541027,2013
080010088021,15000US080010088021,Block Group 1, Census Tract 88.02, Adams County,1916,529,0.276096033,2013
080010088022,15000US080010088022,Block Group 2, Census Tract 88.02, Adams County,1987,527,0.265223956,2013
080010088023,15000US080010088023,Block Group 3, Census Tract 88.02, Adams County,671,286,0.426229508,2013
080010089011,15000US080010089011,Block Group 1, Census Tract 89.01, Adams County,1248,237,0.189903846,2013
080010089012,15000US080010089012,Block Group 2, Census Tract 89.01, Adams County,1361,318,0.233651727,2013
080010090011,15000US080010090011,Block Group 1, Census Tract 90.01, Adams County,2135,454,0.21264637,2013
080010090012,15000US080010090012,Block Group 2, Census Tract 90.01, Adams County,2602,714,0.274404304,2013
080010090021,15000US080010090021,Block Group 1, Census Tract 90.02, Adams County,3848,1210,0.314449064,2013
080010090022,15000US080010090022,Block Group 2, Census Tract 90.02, Adams County,1747,510,0.291929021,2013
080010090023,15000US080010090023,Block Group 3, Census Tract 90.02, Adams County,1237,186,0.150363783,2013
080010090024,15000US080010090024,Block Group 4, Census Tract 90.02, Adams County,1297,195,0.150346955,2013
080010090025,15000US080010090025,Block Group 5, Census Tract 90.02, Adams County,1459,267,0.183002056,2013
080010091011,15000US080010091011,Block Group 1, Census Tract 91.01, Adams County,2230,494,0.221524664,2013
080010091012,15000US080010091012,Block Group 2, Census Tract 91.01, Adams County,1340,394,0.294029851,2013
080010091013,15000US080010091013,Block Group 3, Census Tract 91.01, Adams County,763,197,0.25819135,2013
080010091031,15000US080010091031,Block Group 1, Census Tract 91.03, Adams County,2304,581,0.252170139,2013
080010091032,15000US080010091032,Block Group 2, Census Tract 91.03, Adams County,1086,241,0.221915285,2013
080010091041,15000US080010091041,Block Group 1, Census Tract 91.04, Adams County,2817,786,0.279020234,2013
080010091042,15000US080010091042,Block Group 2, Census Tract 91.04, Adams County,3034,965,0.318061964,2013
080010092021,15000US080010092021,Block Group 1, Census Tract 92.02, Adams County,1940,422,0.217525773,2013
080010092022,15000US080010092022,Block Group 2, Census Tract 92.02, Adams County,1483,394,0.26567768,2013
080010092023,15000US080010092023,Block Group 3, Census Tract 92.02, Adams County,1059,240,0.226628895,2013
080010092031,15000US080010092031,Block Group 1, Census Tract 92.03, Adams County,637,128,0.200941915,2013
080010092032,15000US080010092032,Block Group 2, Census Tract 92.03, Adams County,1630,794,0.487116564,2013
080010092033,15000US080010092033,Block Group 3, Census Tract 92.03, Adams County,1878,818,0.435569755,2013
080010092041,15000US080010092041,Block Group 1, Census Tract 92.04, Adams County,3274,1380,0.421502749,2013
080010092042,15000US080010092042,Block Group 2, Census Tract 92.04, Adams County,1677,543,0.323792487,2013
080010092043,15000US080010092043,Block Group 3, Census Tract 92.04, Adams County,1846,579,0.313651138,2013
080010092061,15000US080010092061,Block Group 1, Census Tract 92.06, Adams County,2016,539,0.267361111,2013
080010092071,15000US080010092071,Block Group 1, Census Tract 92.07, Adams County,2508,721,0.287480064,2013
080010092072,15000US080010092072,Block Group 2, Census Tract 92.07, Adams County,1544,377,0.244170984,2013
080010093041,15000US080010093041,Block Group 1, Census Tract 93.04, Adams County,733,164,0.223738063,2013
080010093042,15000US080010093042,Block Group 2, Census Tract 93.04, Adams County,1052,182,0.173003802,2013
080010093043,15000US080010093043,Block Group 3, Census Tract 93.04, Adams County,1450,648,0.446896552,2013
080010093044,15000US080010093044,Block Group 4, Census Tract 93.04, Adams County,1218,372,0.305418719,2013
080010093045,15000US080010093045,Block Group 5, Census Tract 93.04, Adams County,1076,217,0.201672862,2013
080010093061,15000US080010093061,Block Group 1, Census Tract 93.06, Adams County,1749,364,0.208118925,2013
080010093062,15000US080010093062,Block Group 2, Census Tract 93.06, Adams County,2014,446,0.221449851,2013
080010093071,15000US080010093071,Block Group 1, Census Tract 93.07, Adams County,1920,473,0.246354167,2013
080010093072,15000US080010093072,Block Group 2, Census Tract 93.07, Adams County,1646,433,0.263061968,2013
080010093081,15000US080010093081,Block Group 1, Census Tract 93.08, Adams County,1027,226,0.220058423,2013
080010093082,15000US080010093082,Block Group 2, Census Tract 93.08, Adams County,1243,383,0.308125503,2013
080010093083,15000US080010093083,Block Group 3, Census Tract 93.08, Adams County,910,255,0.28021978,2013
080010093084,15000US080010093084,Block Group 4, Census Tract 93.08, Adams County,1234,470,0.380875203,2013
080010093091,15000US080010093091,Block Group 1, Census Tract 93.09, Adams County,2407,871,0.361861238,2013
080010093092,15000US080010093092,Block Group 2, Census Tract 93.09, Adams County,1313,262,0.199543031,2013
080010093101,15000US080010093101,Block Group 1, Census Tract 93.10, Adams County,1403,344,0.245188881,2013
080010093102,15000US080010093102,Block Group 2, Census Tract 93.10, Adams County,1311,325,0.247902365,2013
080010093103,15000US080010093103,Block Group 3, Census Tract 93.10, Adams County,1249,300,0.240192154,2013
080010093104,15000US080010093104,Block Group 4, Census Tract 93.10, Adams County,2242,660,0.294380018,2013
080010093161,15000US080010093161,Block Group 1, Census Tract 93.16, Adams County,2170,442,0.203686636,2013
080010093162,15000US080010093162,Block Group 2, Census Tract 93.16, Adams County,1545,359,0.23236246,2013
080010093163,15000US080010093163,Block Group 3, Census Tract 93.16, Adams County,723,0,0,2013
080010093164,15000US080010093164,Block Group 4, Census Tract 93.16, Adams County,888,264,0.297297297,2013
080010093165,15000US080010093165,Block Group 5, Census Tract 93.16, Adams County,1083,400,0.369344414,2013
080010093181,15000US080010093181,Block Group 1, Census Tract 93.18, Adams County,2619,547,0.208858343,2013
080010093182,15000US080010093182,Block Group 2, Census Tract 93.18, Adams County,3477,1150,0.330744895,2013
080010093191,15000US080010093191,Block Group 1, Census Tract 93.19, Adams County,720,169,0.234722222,2013
080010093192,15000US080010093192,Block Group 2, Census Tract 93.19, Adams County,592,183,0.309121622,2013
080010093193,15000US080010093193,Block Group 3, Census Tract 93.19, Adams County,825,185,0.224242424,2013
080010093201,15000US080010093201,Block Group 1, Census Tract 93.20, Adams County,1487,505,0.339609953,2013
080010093202,15000US080010093202,Block Group 2, Census Tract 93.20, Adams County,1610,383,0.237888199,2013
080010093211,15000US080010093211,Block Group 1, Census Tract 93.21, Adams County,1781,332,0.186412128,2013
080010093212,15000US080010093212,Block Group 2, Census Tract 93.21, Adams County,862,170,0.197215777,2013
080010093213,15000US080010093213,Block Group 3, Census Tract 93.21, Adams County,1091,538,0.493125573,2013
080010093221,15000US080010093221,Block Group 1, Census Tract 93.22, Adams County,2001,495,0.247376312,2013
080010093222,15000US080010093222,Block Group 2, Census Tract 93.22, Adams County,1675,297,0.177313433,2013
080010093231,15000US080010093231,Block Group 1, Census Tract 93.23, Adams County,1186,410,0.345699831,2013
080010093232,15000US080010093232,Block Group 2, Census Tract 93.23, Adams County,890,230,0.258426966,2013
080010093233,15000US080010093233,Block Group 3, Census Tract 93.23, Adams County,1103,193,0.174977335,2013
080010093234,15000US080010093234,Block Group 4, Census Tract 93.23, Adams County,717,377,0.525801953,2013
080010093251,15000US080010093251,Block Group 1, Census Tract 93.25, Adams County,1321,643,0.48675246,2013
080010093252,15000US080010093252,Block Group 2, Census Tract 93.25, Adams County,1102,213,0.193284936,2013
080010093253,15000US080010093253,Block Group 3, Census Tract 93.25, Adams County,2101,605,0.287958115,2013
080010093261,15000US080010093261,Block Group 1, Census Tract 93.26, Adams County,1128,114,0.10106383,2013
080010093262,15000US080010093262,Block Group 2, Census Tract 93.26, Adams County,1318,238,0.180576631,2013
080010093271,15000US080010093271,Block Group 1, Census Tract 93.27, Adams County,993,247,0.248741188,2013
080010093272,15000US080010093272,Block Group 2, Census Tract 93.27, Adams County,1065,212,0.199061033,2013
080010093273,15000US080010093273,Block Group 3, Census Tract 93.27, Adams County,1734,740,0.426758939,2013
080010093274,15000US080010093274,Block Group 4, Census Tract 93.27, Adams County,819,193,0.235653236,2013
080010094011,15000US080010094011,Block Group 1, Census Tract 94.01, Adams County,1359,295,0.217071376,2013
080010094012,15000US080010094012,Block Group 2, Census Tract 94.01, Adams County,1989,380,0.191050779,2013
080010094013,15000US080010094013,Block Group 3, Census Tract 94.01, Adams County,1617,343,0.212121212,2013
080010094061,15000US080010094061,Block Group 1, Census Tract 94.06, Adams County,2530,482,0.190513834,2013
080010094062,15000US080010094062,Block Group 2, Census Tract 94.06, Adams County,2356,728,0.308998302,2013
080010094071,15000US080010094071,Block Group 1, Census Tract 94.07, Adams County,2219,563,0.253717891,2013
080010094072,15000US080010094072,Block Group 2, Census Tract 94.07, Adams County,1964,751,0.382382892,2013
080010094073,15000US080010094073,Block Group 3, Census Tract 94.07, Adams County,1168,288,0.246575342,2013
080010094081,15000US080010094081,Block Group 1, Census Tract 94.08, Adams County,4165,856,0.205522209,2013
080010094091,15000US080010094091,Block Group 1, Census Tract 94.09, Adams County,2472,622,0.251618123,2013
080010094092,15000US080010094092,Block Group 2, Census Tract 94.09, Adams County,2854,485,0.169936931,2013
080010094101,15000US080010094101,Block Group 1, Census Tract 94.10, Adams County,2038,462,0.226692836,2013
080010094102,15000US080010094102,Block Group 2, Census Tract 94.10, Adams County,1172,156,0.133105802,2013
080010094111,15000US080010094111,Block Group 1, Census Tract 94.11, Adams County,1512,162,0.107142857,2013
080010094112,15000US080010094112,Block Group 2, Census Tract 94.11, Adams County,1287,313,0.243201243,2013
080010095011,15000US080010095011,Block Group 1, Census Tract 95.01, Adams County,1030,297,0.288349515,2013
080010095012,15000US080010095012,Block Group 2, Census Tract 95.01, Adams County,2118,545,0.257318225,2013
080010095021,15000US080010095021,Block Group 1, Census Tract 95.02, Adams County,1933,755,0.390584584,2013
080010095022,15000US080010095022,Block Group 2, Census Tract 95.02, Adams County,1175,233,0.198297872,2013
080010095023,15000US080010095023,Block Group 3, Census Tract 95.02, Adams County,1466,360,0.245566166,2013
080010095531,15000US080010095531,Block Group 1, Census Tract 95.53, Adams County,2192,458,0.208941606,2013
080010095532,15000US080010095532,Block Group 2, Census Tract 95.53, Adams County,878,279,0.317767654,2013
080010096031,15000US080010096031,Block Group 1, Census Tract 96.03, Adams County,2149,648,0.301535598,2013
080010096032,15000US080010096032,Block Group 2, Census Tract 96.03, Adams County,447,53,0.118568233,2013
080010096033,15000US080010096033,Block Group 3, Census Tract 96.03, Adams County,1116,268,0.240143369,2013
080010096034,15000US080010096034,Block Group 4, Census Tract 96.03, Adams County,540,173,0.32037037,2013
080010096035,15000US080010096035,Block Group 5, Census Tract 96.03, Adams County,1654,736,0.444981862,2013
080010096041,15000US080010096041,Block Group 1, Census Tract 96.04, Adams County,2701,719,0.266197705,2013
080010096042,15000US080010096042,Block Group 2, Census Tract 96.04, Adams County,1826,423,0.231653888,2013
080010096061,15000US080010096061,Block Group 1, Census Tract 96.06, Adams County,1326,396,0.298642534,2013
080010096062,15000US080010096062,Block Group 2, Census Tract 96.06, Adams County,1156,222,0.192041522,2013
080010096071,15000US080010096071,Block Group 1, Census Tract 96.07, Adams County,1106,275,0.248643761,2013
080010096072,15000US080010096072,Block Group 2, Census Tract 96.07, Adams County,1676,361,0.215393795,2013
080010096073,15000US080010096073,Block Group 3, Census Tract 96.07, Adams County,1900,540,0.284210526,2013
080010096081,15000US080010096081,Block Group 1, Census Tract 96.08, Adams County,1457,422,0.289636239,2013
080010096082,15000US080010096082,Block Group 2, Census Tract 96.08, Adams County,1484,521,0.351078167,2013
080010097511,15000US080010097511,Block Group 1, Census Tract 97.51, Adams County,2489,861,0.345922057,2013
080010097512,15000US080010097512,Block Group 2, Census Tract 97.51, Adams County,1216,471,0.387335526,2013
080010097521,15000US080010097521,Block Group 1, Census Tract 97.52, Adams County,1968,526,0.267276423,2013
080010097522,15000US080010097522,Block Group 2, Census Tract 97.52, Adams County,1256,184,0.146496815,2013
080010150001,15000US080010150001,Block Group 1, Census Tract 150, Adams County,1755,209,0.119088319,2013
080010150002,15000US080010150002,Block Group 2, Census Tract 150, Adams County,761,178,0.23390276,2013
080010600001,15000US080010600001,Block Group 1, Census Tract 600, Adams County,3566,482,0.135165451,2013
080010600002,15000US080010600002,Block Group 2, Census Tract 600, Adams County,1556,170,0.109254499,2013
080010601001,15000US080010601001,Block Group 1, Census Tract 601, Adams County,3363,515,0.15313708,2013
080010601002,15000US080010601002,Block Group 2, Census Tract 601, Adams County,3051,591,0.193706981,2013
080010602001,15000US080010602001,Block Group 1, Census Tract 602, Adams County,2925,1357,0.463931624,2013
080010602002,15000US080010602002,Block Group 2, Census Tract 602, Adams County,1085,198,0.182488479,2013
080010612001,15000US080010612001,Block Group 1, Census Tract 612, Adams County,1230,224,0.182113821,2013
080019887001,15000US080019887001,Block Group 1, Census Tract 9887, Adams County,0,0,0,2013
080039600001,15000US080039600001,Block Group 1, Census Tract 9600, Alamosa County,676,95,0.140532544,2013
080039600002,15000US080039600002,Block Group 2, Census Tract 9600, Alamosa County,906,116,0.12803532,2013
080039601001,15000US080039601001,Block Group 1, Census Tract 9601, Alamosa County,946,273,0.28858351,2013
080039601002,15000US080039601002,Block Group 2, Census Tract 9601, Alamosa County,620,32,0.051612903,2013
080039601003,15000US080039601003,Block Group 3, Census Tract 9601, Alamosa County,1182,332,0.280879865,2013
080039602001,15000US080039602001,Block Group 1, Census Tract 9602, Alamosa County,1045,147,0.140669856,2013
080039602002,15000US080039602002,Block Group 2, Census Tract 9602, Alamosa County,695,179,0.257553957,2013
080039602003,15000US080039602003,Block Group 3, Census Tract 9602, Alamosa County,1449,366,0.252587992,2013
080039602004,15000US080039602004,Block Group 4, Census Tract 9602, Alamosa County,2064,1099,0.53246124,2013
080039602005,15000US080039602005,Block Group 5, Census Tract 9602, Alamosa County,1191,498,0.41813602,2013
080039602006,15000US080039602006,Block Group 6, Census Tract 9602, Alamosa County,911,242,0.265642151,2013
080039603001,15000US080039603001,Block Group 1, Census Tract 9603, Alamosa County,1199,357,0.297748123,2013
080039603002,15000US080039603002,Block Group 2, Census Tract 9603, Alamosa County,1938,465,0.23993808,2013
080039603003,15000US080039603003,Block Group 3, Census Tract 9603, Alamosa County,485,276,0.569072165,2013
080039603004,15000US080039603004,Block Group 4, Census Tract 9603, Alamosa County,626,139,0.222044728,2013
080050049511,15000US080050049511,Block Group 1, Census Tract 49.51, Arapahoe County,1892,1089,0.575581395,2013
080050049521,15000US080050049521,Block Group 1, Census Tract 49.52, Arapahoe County,1001,636,0.635364635,2013
080050049522,15000US080050049522,Block Group 2, Census Tract 49.52, Arapahoe County,1480,782,0.528378378,2013
080050055511,15000US080050055511,Block Group 1, Census Tract 55.51, Arapahoe County,1097,346,0.315405652,2013
080050055512,15000US080050055512,Block Group 2, Census Tract 55.51, Arapahoe County,2419,713,0.294749897,2013
080050055521,15000US080050055521,Block Group 1, Census Tract 55.52, Arapahoe County,774,105,0.135658915,2013
080050055522,15000US080050055522,Block Group 2, Census Tract 55.52, Arapahoe County,1609,350,0.217526414,2013
080050055531,15000US080050055531,Block Group 1, Census Tract 55.53, Arapahoe County,1196,590,0.493311037,2013
080050055532,15000US080050055532,Block Group 2, Census Tract 55.53, Arapahoe County,507,25,0.049309665,2013
080050055533,15000US080050055533,Block Group 3, Census Tract 55.53, Arapahoe County,2185,572,0.261784897,2013
